date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:24:24	11455/11455	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2014:24:23%20GMT	https://omits-himatika.com/robots.txt		(from )
21:24:25	284/284	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2014:24:23%20GMT	https://omits-himatika.com/	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/index.html	(from )
21:24:25	65866/65866	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2014:24:23%20GMT	https://omits-himatika.com/public/index.php	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/index.html	(from https://omits-himatika.com/)
21:24:25	28846/28846	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jun%202023%2009:44:32%20GMT	https://omits-himatika.com/public/css/style.css	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/css/style.css	(from https://omits-himatika.com/public/index.php)
21:24:26	134587/134587	---M-Z	200	added ('OK')	text/css	etag:%2264346540-4b07%22	https://cdnjs.cloudflare.com/ajax/libs/flowbite/1.6.5/flowbite.min.css	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/cdnjs.cloudflare.com/ajax/libs/flowbite/1.6.5/flowbite.min.css	(from https://omits-himatika.com/public/index.php)
21:24:26	6777/6777	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/apple-icon-57x57.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/apple-icon-57x57.png	(from https://omits-himatika.com/public/index.php)
21:24:26	7378/7378	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/apple-icon-60x60.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/apple-icon-60x60.png	(from https://omits-himatika.com/public/index.php)
21:24:26	9712/9712	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/apple-icon-72x72.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/apple-icon-72x72.png	(from https://omits-himatika.com/public/index.php)
21:24:26	10452/10452	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/apple-icon-76x76.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/apple-icon-76x76.png	(from https://omits-himatika.com/public/index.php)
21:24:27	19024/19024	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/apple-icon-114x114.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/apple-icon-114x114.png	(from https://omits-himatika.com/public/index.php)
21:24:27	20517/20517	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/apple-icon-120x120.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/apple-icon-120x120.png	(from https://omits-himatika.com/public/index.php)
21:24:27	26499/26499	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/apple-icon-144x144.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/apple-icon-144x144.png	(from https://omits-himatika.com/public/index.php)
21:24:27	28707/28707	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/apple-icon-152x152.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/apple-icon-152x152.png	(from https://omits-himatika.com/public/index.php)
21:24:28	36899/36899	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/apple-icon-180x180.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/apple-icon-180x180.png	(from https://omits-himatika.com/public/index.php)
21:24:28	36740/36740	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/android-icon-192x192.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/android-icon-192x192.png	(from https://omits-himatika.com/public/index.php)
21:24:28	2957/2957	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/favicon-32x32.png	(from https://omits-himatika.com/public/index.php)
21:24:28	14847/14847	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/favicon-96x96.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/favicon-96x96.png	(from https://omits-himatika.com/public/index.php)
21:24:28	1553/1553	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/favicon-16x16.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/favicon-16x16.png	(from https://omits-himatika.com/public/index.php)
21:24:29	65866/65866	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2014:24:27%20GMT	https://omits-himatika.com/manifest.json	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/manifest.html	(from https://omits-himatika.com/public/index.php)
21:24:29	26499/26499	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2003:56:12%20GMT	https://omits-himatika.com/public/img/favicon/ms-icon-144x144.png	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/favicon/ms-icon-144x144.png	(from https://omits-himatika.com/public/index.php)
21:24:30	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%2264c93458-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://omits-himatika.com/public/index.php)
21:24:30	2934019/2934019	---M-Z	200	added ('OK')	text/css	etag:W/%222cc503-tOGr5UnSnev1zZ3/tOmmrUwWASU%22	https://cdn.jsdelivr.net/npm/tailwindcss@2.2.16/dist/tailwind.min.css	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/cdn.jsdelivr.net/npm/tailwindcss@2.2.16/dist/tailwind.min.css	(from https://omits-himatika.com/public/index.php)
21:24:30	16102/16102	---M--	200	added ('OK')	image/webp	date:Mon,%2003%20Jul%202023%2010:12:26%20GMT	https://omits-himatika.com/public/img/bg-mission.webp	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/bg-mission.webp	(from https://omits-himatika.com/public/index.php)
21:24:30	14908/14908	---M--	200	added ('OK')	image/webp	date:Mon,%2003%20Jul%202023%2010:12:22%20GMT	https://omits-himatika.com/public/img/bg-address1.webp	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/bg-address1.webp	(from https://omits-himatika.com/public/index.php)
21:24:31	134268/134268	---M--	200	added ('OK')	image/webp	date:Mon,%2003%20Jul%202023%2010:12:36%20GMT	https://omits-himatika.com/public/img/logoomits16.webp	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/public/img/logoomits16.webp	(from https://omits-himatika.com/public/index.php)
21:24:31	20670/20670	---M-Z	302	error ('Found')	text/html	date:Wed,%2027%20Sep%202023%2014:24:29%20GMT	https://omits-himatika.com/dashboard/index.php	C:/My%20Web%20Sites/OMITS%20Frontend%20only%202/omits-himatika.com/dashboard/index.php	(from https://omits-himatika.com/public/index.php)
